@relation '2025-08-MD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,25-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R25-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R127-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R126-precision6-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,127,126-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R57,93,121-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R84-86,122-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveRange-V-R1-560-weka.filters.unsupervised.attribute.Remove-V-R24,27,29,26,30,31,33,99,102,109,62,63,65,68,69,6,5,9,82,83,86'

@attribute UEMPMEAN {'\'(-inf-14.9]\'','\'(14.9-27.8]\'','\'(27.8-inf)\''}
@attribute UEMP15OV numeric
@attribute UEMP27OV numeric
@attribute UEMP5TO14 numeric
@attribute CLAIMSx numeric
@attribute PAYEMS numeric
@attribute CES1021000001 numeric
@attribute CPIAUCSL numeric
@attribute CPIMEDSL numeric
@attribute PCEPI numeric
@attribute M1SL numeric
@attribute M2SL numeric
@attribute BOGMBASE numeric
@attribute BUSLOANS numeric
@attribute REALLN numeric
@attribute INDPRO numeric
@attribute RETAILx numeric
@attribute IPCONGD numeric
@attribute AAA numeric
@attribute BAA numeric
@attribute T10YFFM numeric

@data
'\'(-inf-14.9]\'',-1.007533,-0.861687,-1.289794,-0.616955,-1.47107,-0.445985,-1.278004,-1.10378,-1.340323,-0.466929,-0.862278,-0.662118,-0.997051,-0.911984,-1.337833,-1.039137,-1.502947,-0.845835,-0.983282,-0.548574
'\'(-inf-14.9]\'',-0.979783,-0.859416,-1.311088,-0.490788,-1.462769,-0.445985,-1.278356,-1.10378,-1.340201,-0.466786,-0.86179,-0.662234,-0.996322,-0.911702,-1.332859,-1.038742,-1.504591,-0.842106,-0.983282,-0.536025
'\'(-inf-14.9]\'',-0.980338,-0.83746,-1.400747,-0.579051,-1.4545,-0.486249,-1.277534,-1.10378,-1.339957,-0.466561,-0.861167,-0.662002,-0.995198,-0.911402,-1.329876,-1.038411,-1.476628,-0.830917,-0.972974,-0.441909
'\'(-inf-14.9]\'',-1.013638,-0.852602,-1.333503,-0.623337,-1.447272,-0.448913,-1.277181,-1.103211,-1.339804,-0.466315,-0.860646,-0.661714,-0.99438,-0.911129,-1.317936,-1.035189,-1.466757,-0.815999,-0.966102,-0.448183
'\'(-inf-14.9]\'',-1.028623,-0.87153,-1.361521,-0.617329,-1.438529,-0.431343,-1.276006,-1.102643,-1.33895,-0.466172,-0.860124,-0.661425,-0.993509,-0.910864,-1.312962,-1.033643,-1.456891,-0.801081,-0.95923,-0.397988
'\'(-inf-14.9]\'',-1.020853,-0.885158,-1.404109,-0.670536,-1.42824,-0.438664,-1.274831,-1.102643,-1.337118,-0.465946,-0.859535,-0.660616,-0.991773,-0.910645,-1.29804,-1.03318,-1.445376,-0.771245,-0.935179,-0.42936
'\'(-inf-14.9]\'',-1.040834,-0.887429,-1.493768,-0.627929,-1.421706,-0.432075,-1.274478,-1.102075,-1.336508,-0.46568,-0.859064,-0.660905,-0.990753,-0.91033,-1.2861,-1.032318,-1.435505,-0.748868,-0.921435,-0.498379
'\'(-inf-14.9]\'',-1.056929,-0.902571,-1.515062,-0.662929,-1.413279,-0.441592,-1.272127,-1.102075,-1.334402,-0.465578,-0.858626,-0.661309,-0.989887,-0.909998,-1.278143,-1.031929,-1.430572,-0.73395,-0.900819,-0.473281
'\'(-inf-14.9]\'',-1.063034,-0.904085,-1.452301,-0.797124,-1.400781,-0.427683,-1.270952,-1.100938,-1.33315,-0.465393,-0.858189,-0.661251,-0.988851,-0.909745,-1.261229,-1.029632,-1.415768,-0.681737,-0.8321,-0.479555
'\'(-inf-14.9]\'',-1.067474,-0.916956,-1.63274,-0.821981,-1.393048,-0.69489,-1.269777,-1.10037,-1.33138,-0.465127,-0.857836,-0.660905,-0.987797,-0.9095,-1.259238,-1.031451,-1.409191,-0.66682,-0.801176,-0.567397
'\'(-inf-14.9]\'',-1.090229,-0.891215,-1.444456,-0.761259,-1.384368,-0.448913,-1.268954,-1.099802,-1.330739,-0.465229,-0.857701,-0.660847,-0.986617,-0.909301,-1.247303,-1.033716,-1.409187,-0.659361,-0.777124,-0.692886
'\'(-inf-14.9]\'',-1.122974,-0.932855,-1.491527,-0.753273,-1.371775,-0.441592,-1.268601,-1.099233,-1.329457,-0.465168,-0.857516,-0.660558,-0.984064,-0.908977,-1.241333,-1.030725,-1.400965,-0.625795,-0.742765,-0.843473
'\'(-inf-14.9]\'',-1.149615,-0.948754,-1.457905,-0.646768,-1.365778,-0.429147,-1.267779,-1.098097,-1.328449,-0.465434,-0.857566,-0.65998,-0.982344,-0.908791,-1.234368,-1.030168,-1.404253,-0.59223,-0.708405,-0.793277
'\'(-inf-14.9]\'',-1.129079,-0.951783,-1.437731,-0.725455,-1.359277,-0.40206,-1.265428,-1.097528,-1.326465,-0.465332,-0.85728,-0.660211,-0.982083,-0.908669,-1.233376,-1.028659,-1.410835,-0.536287,-0.656866,-0.812101
'\'(-inf-14.9]\'',-1.115759,-0.954054,-1.475837,-0.749279,-1.354984,-0.406453,-1.264253,-1.095823,-1.324817,-0.465086,-0.856809,-0.659807,-0.981471,-0.908488,-1.221436,-1.028386,-1.404253,-0.469156,-0.567531,-0.755631
'\'(-inf-14.9]\'',-1.112429,-0.939669,-1.490406,-0.733124,-1.348325,-0.409381,-1.263078,-1.094687,-1.323443,-0.46525,-0.856759,-0.659691,-0.980825,-0.908292,-1.212483,-1.028964,-1.363131,-0.498992,-0.564095,-0.943864
'\'(-inf-14.9]\'',-1.129079,-0.955568,-1.494889,-0.692887,-1.343117,-0.427683,-1.262725,-1.09355,-1.32268,-0.465209,-0.856489,-0.65946,-0.980378,-0.908151,-1.221436,-1.028917,-1.373001,-0.521369,-0.553787,-0.994059
'\'(-inf-14.9]\'',-1.115759,-0.947997,-1.529632,-0.634639,-1.337436,-0.421094,-1.262255,-1.092982,-1.321581,-0.465086,-0.856001,-0.658767,-0.979631,-0.907972,-1.218453,-1.029873,-1.377935,-0.506451,-0.536607,-0.968962
'\'(-inf-14.9]\'',-1.115204,-0.953297,-1.407472,-0.668904,-1.330871,-0.425487,-1.26249,-1.091845,-1.321551,-0.465106,-0.855766,-0.658998,-0.979263,-0.90782,-1.212343,-1.036329,-1.359872,-0.577312,-0.608762,-0.843473
'\'(-inf-14.9]\'',-1.131854,-0.954811,-1.398506,-0.575385,-1.330176,-0.440128,-1.261315,-1.091277,-1.32094,-0.464881,-0.855177,-0.659287,-0.978912,-0.907704,-1.227102,-1.037612,-1.386904,-0.640713,-0.660302,-0.849747
'\'(-inf-14.9]\'',-1.14462,-0.97071,-1.39066,-0.426924,-1.326989,-0.449645,-1.261315,-1.090709,-1.320666,-0.464512,-0.854403,-0.659345,-0.978213,-0.90757,-1.234353,-1.036345,-1.380539,-0.603418,-0.649994,-0.611319
'\'(-inf-14.9]\'',-1.14906,-0.975253,-1.360401,-0.416403,-1.329009,-0.468679,-1.260139,-1.089572,-1.319781,-0.464635,-0.853999,-0.659287,-0.976899,-0.907426,-1.222287,-1.036024,-1.346585,-0.610877,-0.656866,-0.278773
'\'(-inf-14.9]\'',-1.155165,-0.991152,-1.350314,-0.543823,-1.324148,-0.481124,-1.260139,-1.089004,-1.318773,-0.464328,-0.853141,-0.659229,-0.976384,-0.90726,-1.233553,-1.036603,-1.385664,-0.562394,-0.612198,-0.046619
'\'(-inf-14.9]\'',-1.15239,-0.993424,-1.37497,-0.561357,-1.320045,-0.491373,-1.257789,-1.087867,-1.317094,-0.464062,-0.852333,-0.658883,-0.975035,-0.907049,-1.233716,-1.032807,-1.379719,-0.487804,-0.546915,0.034949
'\'(-inf-14.9]\'',-1.15794,-0.992666,-1.397385,-0.580996,-1.315689,-0.480392,-1.256613,-1.087299,-1.315293,-0.463837,-0.85161,-0.65842,-0.973746,-0.906848,-1.236629,-1.033711,-1.382613,-0.435591,-0.509119,0.242005
'\'(-inf-14.9]\'',-1.141844,-0.955568,-1.324537,-0.65137,-1.307641,-0.580686,-1.255438,-1.08673,-1.313645,-0.463509,-0.850852,-0.658478,-0.974021,-0.906645,-1.212161,-1.03368,-1.363314,-0.420673,-0.485068,0.24828
'\'(-inf-14.9]\'',-1.137959,-0.984338,-1.361521,-0.634302,-1.306978,-0.60338,-1.254263,-1.085594,-1.312027,-0.463304,-0.850196,-0.658189,-0.973744,-0.906397,-1.214275,-1.03,-1.359362,-0.409484,-0.461016,0.204358
'\'(-inf-14.9]\'',-1.124639,-0.972225,-1.286432,-0.632666,-1.305053,-0.616558,-1.253088,-1.084457,-1.310532,-0.46312,-0.849607,-0.657785,-0.973289,-0.906138,-1.20369,-1.032029,-1.332423,-0.346083,-0.419784,0.386317
'\'(-inf-14.9]\'',-1.114649,-0.969196,-1.350314,-0.681763,-1.289966,-0.616558,-1.250737,-1.083889,-1.308761,-0.462956,-0.849102,-0.657438,-0.972681,-0.90586,-1.184955,-1.028943,-1.289108,-0.252846,-0.351065,0.398866
'\'(-inf-14.9]\'',-1.117424,-0.959354,-1.333503,-0.658617,-1.283748,-0.62095,-1.249562,-1.082752,-1.307907,-0.462771,-0.848497,-0.656687,-0.970772,-0.905535,-1.170643,-1.025084,-1.255128,-0.208092,-0.27891,0.129065
'\'(-inf-14.9]\'',-1.107434,-0.963139,-1.351435,-0.637342,-1.286778,-0.639984,-1.248386,-1.082184,-1.305404,-0.462567,-0.848059,-0.656745,-0.970264,-0.905246,-1.172091,-1.027576,-1.283533,-0.215551,-0.309834,-0.03407
'\'(-inf-14.9]\'',-1.126859,-0.971468,-1.417558,-0.660721,-1.273806,-0.628271,-1.247211,-1.081616,-1.303206,-0.462485,-0.847554,-0.657034,-0.970205,-0.904925,-1.167283,-1.025973,-1.272383,-0.241657,-0.323577,-0.084266
'\'(-inf-14.9]\'',-1.138514,-0.971468,-1.485923,-0.733433,-1.271281,-0.637788,-1.246036,-1.080479,-1.301436,-0.462321,-0.847083,-0.656861,-0.969567,-0.904602,-1.163079,-1.02266,-1.259925,-0.237928,-0.306398,-0.184657
'\'(-inf-14.9]\'',-1.168485,-0.994181,-1.40523,-0.715664,-1.263044,-0.53603,-1.24486,-1.079911,-1.299726,-0.462096,-0.846663,-0.656572,-0.967951,-0.90429,-1.161124,-1.022981,-1.263481,-0.200633,-0.265166,-0.692886
'\'(-inf-14.9]\'',-1.167375,-1.004023,-1.529632,-0.715664,-1.260014,-0.535298,-1.243685,-1.079342,-1.297712,-0.461809,-0.846124,-0.656514,-0.967269,-0.903986,-1.14595,-1.022082,-1.252204,-0.178256,-0.24455,-0.76818
'\'(-inf-14.9]\'',-1.161825,-0.984338,-1.45006,-0.740914,-1.252028,-0.531637,-1.241335,-1.078774,-1.295941,-0.461522,-0.845501,-0.656052,-0.966085,-0.903606,-1.140928,-1.019769,-1.239181,-0.174526,-0.230806,-0.837198
'\'(-inf-14.9]\'',-1.15017,-0.98661,-1.433248,-0.728523,-1.245053,-0.511871,-1.238984,-1.077637,-1.294262,-0.461297,-0.844997,-0.65559,-0.964717,-0.903411,-1.14303,-1.017966,-1.244288,-0.189444,-0.26173,-0.943864
'\'(-inf-14.9]\'',-1.168485,-0.991152,-1.507217,-0.713794,-1.238615,-0.50455,-1.237809,-1.077069,-1.292004,-0.46103,-0.844357,-0.655474,-0.964467,-0.903275,-1.139207,-1.016057,-1.218896,-0.271493,-0.316705,-1.000334
'\'(-inf-14.9]\'',-1.178475,-1.007051,-1.489285,-0.753072,-1.233754,-0.491373,-1.236633,-1.075932,-1.290081,-0.460846,-0.843651,-0.655416,-0.963716,-0.902998,-1.134,-1.019191,-1.210342,-0.290141,-0.327013,-0.818375
'\'(-inf-14.9]\'',-1.17237,-1.005537,-1.469112,-0.776451,-1.226274,-0.827395,-1.234283,-1.074796,-1.287639,-0.46058,-0.842977,-0.654954,-0.96252,-0.902614,-1.131261,-1.015148,-1.19669,-0.245387,-0.309834,-0.824649
'\'(-inf-14.9]\'',-1.188465,-1.007809,-1.503855,-0.788609,-1.217973,-0.49723,-1.233107,-1.073659,-1.285746,-0.46017,-0.84217,-0.654434,-0.96047,-0.90224,-1.113378,-1.011483,-1.168374,-0.208092,-0.251422,-0.692886
'\'(-inf-14.9]\'',-1.191795,-0.985853,-1.467991,-0.713326,-1.209641,-0.507479,-1.230757,-1.072523,-1.284586,-0.459883,-0.841429,-0.653625,-0.958323,-0.901888,-1.108955,-1.013665,-1.180616,-0.111125,-0.175831,-0.611319
'\'(-inf-14.9]\'',-1.198455,-1.008566,-1.484802,-0.750734,-1.203612,-0.505283,-1.229582,-1.071954,-1.282389,-0.459617,-0.841009,-0.653741,-0.957158,-0.901521,-1.100458,-1.012051,-1.168952,-0.058912,-0.144907,-0.780728
'\'(-inf-14.9]\'',-1.18791,-1.019922,-1.397385,-0.729692,-1.195406,-0.50455,-1.228406,-1.070249,-1.280954,-0.459494,-0.840571,-0.654261,-0.955738,-0.901113,-1.091412,-1.010952,-1.15091,-0.032806,-0.151779,-0.881119
'\'(-inf-14.9]\'',-1.190685,-1.016894,-1.501614,-0.762423,-1.188904,-0.531637,-1.22488,-1.069113,-1.278298,-0.459351,-0.840151,-0.654376,-0.954573,-0.900739,-1.080261,-1.012177,-1.135384,0.038055,-0.079624,-0.92504
'\'(-inf-14.9]\'',-1.17237,-1.006294,-1.508338,-0.785803,-1.183633,-0.538226,-1.22253,-1.067976,-1.275795,-0.459208,-0.839932,-0.65403,-0.952677,-0.900402,-1.085535,-1.01131,-1.168387,0.052973,-0.069316,-1.395623
'\'(-inf-14.9]\'',-1.171815,-1.011594,-1.628257,-0.798896,-1.175553,-0.533833,-1.221354,-1.066839,-1.273506,-0.459187,-0.839797,-0.653452,-0.951226,-0.900102,-1.090931,-1.009854,-1.184822,0.015678,-0.076188,-2.092086
'\'(-inf-14.9]\'',-1.18236,-1.013108,-1.469112,-0.748396,-1.165832,-0.528709,-1.219004,-1.066271,-1.270728,-0.459085,-0.839461,-0.653394,-0.95049,-0.899925,-1.077034,-1.010821,-1.159604,0.086538,-0.014341,-2.079537
'\'(-inf-14.9]\'',-1.177365,-0.985853,-1.45006,-0.670073,-1.162897,-0.486981,-1.216653,-1.065135,-1.268195,-0.459003,-0.839292,-0.653279,-0.949852,-0.899692,-1.069447,-1.010732,-1.12098,0.123833,0.033763,-1.803462
'\'(-inf-14.9]\'',-1.179585,-1.007051,-1.395143,-0.71847,-1.154091,-0.445985,-1.215478,-1.064566,-1.266608,-0.459003,-0.839191,-0.653221,-0.949542,-0.899494,-1.066127,-1.008944,-1.125004,0.082809,0.040635,-2.186203
'\'(-inf-14.9]\'',-1.169595,-0.994938,-1.285311,-0.735537,-1.157058,-0.418166,-1.213127,-1.062861,-1.264196,-0.458921,-0.838855,-0.653221,-0.94891,-0.899346,-1.066453,-1.00682,-1.142021,0.14621,0.105918,-1.866206
'\'(-inf-14.9]\'',-1.17903,-1.004023,-1.408592,-0.714495,-1.150525,-0.408649,-1.210777,-1.063998,-1.262212,-0.458757,-0.838636,-0.652874,-0.948268,-0.899197,-1.066031,-1.005106,-1.141074,0.217071,0.164329,-1.809736
'\'(-inf-14.9]\'',-1.16904,-0.996452,-1.369366,-0.687608,-1.151629,-0.422558,-1.208426,-1.062861,-1.259679,-0.458614,-0.8383,-0.652181,-0.947219,-0.89907,-1.079676,-1.005238,-1.16045,0.22453,0.174637,-1.690522
'\'(-inf-14.9]\'',-1.157385,-1.007051,-1.37497,-0.618638,-1.146737,-0.418166,-1.206076,-1.062293,-1.256993,-0.458552,-0.837879,-0.651488,-0.945472,-0.898978,-1.083525,-1.003787,-1.15748,0.362521,0.312076,-1.445819
'\'(-inf-14.9]\'',-1.147395,-0.998723,-1.318933,-0.491218,-1.148789,-0.452573,-1.203725,-1.061156,-1.254886,-0.458081,-0.837593,-0.651719,-0.945843,-0.898682,-1.11001,-1.003298,-1.194583,0.433381,0.384231,-1.364251
'\'(-inf-14.9]\'',-1.125749,-0.985095,-1.190048,-0.437445,-1.144717,-0.462822,-1.201374,-1.06002,-1.252536,-0.458327,-0.838148,-0.652412,-0.946588,-0.898512,-1.110935,-1.002551,-1.173108,0.44084,0.356743,-1.709345
'\'(-inf-14.9]\'',-1.090229,-0.969953,-1.094786,-0.391854,-1.140109,-0.469411,-1.199024,-1.058883,-1.251071,-0.458183,-0.83798,-0.652354,-0.946938,-0.89841,-1.112756,-1.004055,-1.175742,0.407275,0.305204,-1.050529
'\'(-inf-14.9]\'',-1.052489,-0.954054,-1.125046,-0.125325,-1.14336,-0.489909,-1.196673,-1.057178,-1.248049,-0.457979,-0.837795,-0.651777,-0.946611,-0.898341,-1.116357,-1.002168,-1.166853,0.403545,0.329255,-1.063078
'\'(-inf-14.9]\'',-1.058594,-0.932098,-0.973746,-0.194763,-1.15043,-0.497962,-1.195498,-1.056042,-1.246157,-0.457876,-0.837273,-0.651603,-0.946197,-0.898314,-1.117986,-0.999865,-1.154896,0.507971,0.425462,-0.636416
'\'(-inf-14.9]\'',-1.021963,-0.937398,-0.91883,-0.259758,-1.153428,-0.475268,-1.193147,-1.054905,-1.2446,-0.457794,-0.836651,-0.65143,-0.945178,-0.898382,-1.122501,-0.998824,-1.149347,0.645962,0.518233,-0.467006
'\'(-inf-14.9]\'',-1.019188,-0.929827,-0.875121,-0.306518,-1.152671,-0.476732,-1.191972,-1.053768,-1.242402,-0.457712,-0.835994,-0.650794,-0.944137,-0.898267,-1.119085,-0.997446,-1.144023,0.631044,0.569773,-0.460732
'\'(-inf-14.9]\'',-0.995323,-0.916956,-0.853827,-0.311662,-1.156332,-0.438664,-1.190797,-1.052632,-1.240815,-0.457323,-0.835018,-0.650679,-0.943069,-0.898147,-1.121572,-0.997499,-1.181895,0.51543,0.583517,-0.040345
'\'(-inf-14.9]\'',-0.949258,-0.894243,-0.741753,-0.156887,-1.156111,-0.431343,-1.188446,-1.051495,-1.238098,-0.456934,-0.833958,-0.65039,-0.941847,-0.897994,-1.131169,-0.996984,-1.190219,0.500512,0.566337,0.072595
'\'(-inf-14.9]\'',-0.958693,-0.910899,-0.717097,-0.086281,-1.169462,-0.427683,-1.186095,-1.050927,-1.235076,-0.456709,-0.833083,-0.65039,-0.941544,-0.89781,-1.158826,-0.995612,-1.217035,0.478135,0.545721,0.091419
'\'(-inf-14.9]\'',-0.903192,-0.855631,-0.444758,-0.125325,-1.172997,-0.42329,-1.183745,-1.04979,-1.232665,-0.456545,-0.832292,-0.649928,-0.941049,-0.897655,-1.167031,-0.999323,-1.231405,0.485594,0.562901,0.160437
'\'(-inf-14.9]\'',-0.774986,-0.817018,-0.587091,-0.215337,-1.160909,-0.429147,-1.181394,-1.048085,-1.229948,-0.456401,-0.831384,-0.649061,-0.939585,-0.897322,-1.136106,-0.994518,-1.139272,0.332685,0.473566,0.317298
'\'(-inf-14.9]\'',-0.768881,-0.781434,-0.542262,-0.249004,-1.158605,-0.473071,-1.180219,-1.047517,-1.228636,-0.456176,-0.830307,-0.648946,-0.93935,-0.897101,-1.125506,-0.990475,-1.105947,0.228259,0.342999,0.700039
'\'(-inf-14.9]\'',-0.793856,-0.767807,-0.534417,-0.318208,-1.160435,-0.507479,-1.180219,-1.04638,-1.226835,-0.455787,-0.828944,-0.649292,-0.938921,-0.896857,-1.128152,-0.988709,-1.107217,0.123833,0.222741,0.881998
'\'(-inf-14.9]\'',-0.777206,-0.764021,-0.529934,-0.272617,-1.158762,-0.519192,-1.179044,-1.045244,-1.22479,-0.4555,-0.827446,-0.649177,-0.938806,-0.896487,-1.129655,-0.988467,-1.100759,0.172317,0.246792,0.63102
'\'(-inf-14.9]\'',-0.748901,-0.763264,-0.59942,-0.301842,-1.153207,-0.516996,-1.177868,-1.044107,-1.222348,-0.455254,-0.826016,-0.648715,-0.938606,-0.896072,-1.121883,-0.985218,-1.082182,0.187235,0.243356,0.436513
'\'(-inf-14.9]\'',-0.735581,-0.72238,-0.609506,-0.279865,-1.146548,-0.511871,-1.175518,-1.04297,-1.219753,-0.454845,-0.824619,-0.648252,-0.937479,-0.89565,-1.114817,-0.986264,-1.080197,0.29166,0.301768,0.486708
'\'(-inf-14.9]\'',-0.738911,-0.697396,-0.564677,-0.259758,-1.146327,-0.51846,-1.173167,-1.041834,-1.216976,-0.454538,-0.823559,-0.647964,-0.936161,-0.895229,-1.108951,-0.982942,-1.063205,0.332685,0.346435,0.392592
'\'(-inf-14.9]\'',-0.69229,-0.677711,-0.628559,-0.275189,-1.144402,-0.655358,-1.171992,-1.040697,-1.215083,-0.454251,-0.822449,-0.647212,-0.935851,-0.894523,-1.11303,-0.98239,-1.027509,0.332685,0.349871,0.273377
'\'(-inf-14.9]\'',-0.68674,-0.690582,-0.607265,-0.125325,-1.142571,-0.527977,-1.170816,-1.040129,-1.213252,-0.454107,-0.821456,-0.64727,-0.93424,-0.894094,-1.121157,-0.98138,-1.05432,0.314037,0.349871,0.0224
'\'(-inf-14.9]\'',-0.69895,-0.68074,-0.607265,-0.148705,-1.134965,-0.480392,-1.169641,-1.038992,-1.212305,-0.453923,-0.820278,-0.647097,-0.93301,-0.893558,-1.098526,-0.978242,-1.032977,0.258095,0.29146,-0.247401
'\'(-inf-14.9]\'',-0.682855,-0.659541,-0.631921,-0.254615,-1.134081,-0.948187,-1.168466,-1.040129,-1.211329,-0.45378,-0.819285,-0.646924,-0.932276,-0.892998,-1.087933,-0.976007,-1.001368,0.239447,0.253664,-0.159559
'\'(-inf-14.9]\'',-0.67786,-0.667112,-0.5389,-0.30418,-1.127611,-0.91744,-1.167291,-1.039561,-1.210016,-0.453657,-0.818242,-0.646461,-0.931606,-0.892488,-1.081882,-0.973836,-0.982524,0.190964,0.219305,-0.052894
'\'(-inf-14.9]\'',-0.67453,-0.665598,-0.663302,-0.369643,-1.119341,-0.481856,-1.166115,-1.038992,-1.207513,-0.453554,-0.817283,-0.64571,-0.931623,-0.892428,-1.06535,-0.973957,-0.966449,0.187235,0.219305,0.505532
'\'(-inf-14.9]\'',-0.68896,-0.658026,-0.695803,-0.37806,-1.108863,-0.492837,-1.16494,-1.038424,-1.204888,-0.453186,-0.816038,-0.645479,-0.931168,-0.891704,-1.03066,-0.975397,-0.930353,0.164858,0.167765,0.919644
'\'(-inf-14.9]\'',-0.669535,-0.614114,-0.717097,-0.414065,-1.102329,-0.52212,-1.162589,-1.037856,-1.202355,-0.452735,-0.814692,-0.646115,-0.93026,-0.890666,-1.01563,-0.973831,-0.915541,0.194694,0.167765,1.132975
'\'(-inf-14.9]\'',-0.702835,-0.628499,-0.775375,-0.417572,-1.092987,-0.500158,-1.162589,-1.037287,-1.201439,-0.452326,-0.813379,-0.645768,-0.92928,-0.889911,-1.00519,-0.968936,-0.916263,0.183505,0.171201,0.787881
'\'(-inf-14.9]\'',-0.718931,-0.597458,-0.683475,-0.416403,-1.086106,-0.545547,-1.161414,-1.036719,-1.200462,-0.452059,-0.812555,-0.645075,-0.927374,-0.889114,-0.990223,-0.968458,-0.887748,0.205882,0.171201,0.649844
'\'(-inf-14.9]\'',-0.738356,-0.667869,-0.64537,-0.394192,-1.076417,-0.521388,-1.160239,-1.036151,-1.199028,-0.451998,-0.81173,-0.644728,-0.925569,-0.888344,-0.990079,-0.965887,-0.8984,0.205882,0.167765,0.549453
'\'(-inf-14.9]\'',-0.753341,-0.690582,-0.695803,-0.368474,-1.067295,-0.511139,-1.159063,-1.035582,-1.198051,-0.451854,-0.810653,-0.644497,-0.924239,-0.887746,-0.986063,-0.964599,-0.897389,0.179776,0.157457,0.417689
'\'(-inf-14.9]\'',-0.746126,-0.714052,-0.666664,-0.254615,-1.068842,-0.535298,-1.157888,-1.035582,-1.195731,-0.451404,-0.809004,-0.643804,-0.923108,-0.886871,-0.987503,-0.963537,-0.878591,0.172317,0.167765,0.361219
'\'(-inf-14.9]\'',-0.745016,-0.700424,-0.637525,-0.460824,-1.055207,-0.468679,-1.156713,-1.035014,-1.193838,-0.450974,-0.807456,-0.643804,-0.921468,-0.885947,-0.966551,-0.961634,-0.851818,0.164858,0.154021,0.267103
'\'(-inf-14.9]\'',-0.758891,-0.692096,-0.806756,-0.448199,-1.051325,-0.426951,-1.154362,-1.035014,-1.190908,-0.450503,-0.805841,-0.643746,-0.920294,-0.885141,-0.954567,-0.957828,-0.837995,0.176046,0.119662,0.436513
'\'(-inf-14.9]\'',-0.763331,-0.711781,-0.714856,-0.472514,-1.038384,-0.428415,-1.153187,-1.032741,-1.190176,-0.450134,-0.804394,-0.643053,-0.917655,-0.884332,-0.934526,-0.954931,-0.802201,0.172317,0.109354,0.285926
'\'(-inf-14.9]\'',-0.809396,-0.75115,-0.811239,-0.473683,-1.028947,-0.445985,-1.150836,-1.032741,-1.188222,-0.449847,-0.803216,-0.643573,-0.914565,-0.883451,-0.915829,-0.953527,-0.783896,0.138751,0.085302,0.147889
'\'(-inf-14.9]\'',-0.828267,-0.762507,-0.728304,-0.512728,-1.019637,-0.476732,-1.149661,-1.032172,-1.186116,-0.449274,-0.801802,-0.643053,-0.912686,-0.882864,-0.897834,-0.948785,-0.762192,0.123833,0.064686,0.028674
'\'(-inf-14.9]\'',-0.861012,-0.796577,-0.85831,-0.577723,-1.008621,-0.502354,-1.14731,-1.031604,-1.184132,-0.448803,-0.800456,-0.642879,-0.909836,-0.881827,-0.886117,-0.945105,-0.766955,0.14994,0.054378,-0.291322
'\'(-inf-14.9]\'',-0.890427,-0.825346,-0.94909,-0.608117,-0.996091,-0.481856,-1.143785,-1.031036,-1.180652,-0.448659,-0.799817,-0.643688,-0.903177,-0.880833,-0.862727,-0.94193,-0.734577,0.176046,0.07843,-0.579946
